platform,stock_name,timestamp,post_id,data_index,title,comment
토스증권,KB금융,2025-03-16T13:54:07+09:00,102418898,2,이젠 현금비중을 늘여하나?,"탄핵관련 결과가 어떻게 나오든
정국불안은 계속되어
투자심리가 얼어붙을 거고
트럼프의 가벼운 주둥이는
이제 우릴 향하고 있고
따뜻한 봄이 오지 않을 듯
담주부턴 본격적으로
최대한 수익난거 위주 현금화하고
미장도 국장도 재미없을 듯하여
놀러다녀와야 할듯"
토스증권,KB금융,2025-03-14T13:37:55+09:00,102211930,3,,85000원본전이다어서올라와
토스증권,KB금융,2025-03-14T11:22:54+09:00,102198108,4,,다시옴 ㅠ
토스증권,KB금융,2025-03-14T11:17:13+09:00,102197420,5,,너무 약해서 조금 팔아요
토스증권,KB금융,2025-03-14T10:32:55+09:00,102191424,6,,배당언제주나요?
토스증권,KB금융,2025-03-14T10:19:30+09:00,102189678,7,,이젠좀올라갈때가된거겠지여?
토스증권,KB금융,2025-03-14T10:01:50+09:00,102187166,8,,슬슬 발동 거는건가요?
토스증권,KB금융,2025-03-14T09:02:56+09:00,102178026,9,,헉 사졌다
토스증권,KB금융,2025-03-13T14:59:17+09:00,102019554,10,,"조금 주식 쉬어야겠다.
그냥 정리"
토스증권,KB금융,2025-03-13T13:37:33+09:00,102009934,11,,역시 ... 내려가는구나
토스증권,KB금융,2025-03-13T13:34:40+09:00,102009646,12,,일단 간보고 나갑니다
토스증권,KB금융,2025-03-13T13:29:56+09:00,102009062,13,,고배당주는 언제나 1퍼센트 주면 조금 팔아야됨 ㅋ
토스증권,KB금융,2025-03-13T12:38:36+09:00,102003978,14,,8만위에서 놀자 쫌~~
토스증권,KB금융,2025-03-13T12:09:17+09:00,102001034,15,,저가 매수 입니다. 오해 ㄴㄴ
토스증권,KB금융,2025-03-13T11:29:25+09:00,101996670,16,,오늘 8만 안착 ㄱㄱㄱㄱ
토스증권,KB금융,2025-03-13T11:18:33+09:00,101995508,17,,다시올께~
토스증권,KB금융,2025-03-13T10:36:56+09:00,101990710,18,,다시 올게~~!
토스증권,KB금융,2025-03-13T10:24:37+09:00,101989232,19,,냠냠
토스증권,KB금융,2025-03-13T10:18:44+09:00,101988464,20,,얼마까지 갈까요?
토스증권,KB금융,2025-03-13T10:07:08+09:00,101986662,21,버거형들~,어제랑 완전히 다르잖아? 이중인격이야? 어젠 내팽개 치더니 오늘은 왜이랴? 왜 질척 거려?
토스증권,KB금융,2025-03-13T09:56:01+09:00,101985166,22,,가자 그동안 못살게 굴었잖아~~
토스증권,KB금융,2025-03-13T09:50:08+09:00,101984230,23,,금융주 모으기 시작 해봅니다
토스증권,KB금융,2025-03-13T09:39:04+09:00,101982478,24,,"안속는다
오르는척하고
장 마감에 또 내리지
ㅡㅡ"
토스증권,KB금융,2025-03-13T09:39:01+09:00,101982464,25,,종가에보합 내일 처박을듯..
토스증권,KB금융,2025-03-13T09:38:18+09:00,101982334,26,하루이틀인가,이러다가 또 76까지 꼴박할거면서
토스증권,KB금융,2025-03-13T09:33:32+09:00,101981430,27,배당전 매도,배당 기준일 3월 28일
토스증권,KB금융,2025-03-13T09:29:19+09:00,101980578,28,뚫어?ㅋ,ㅋㅋㅋ
토스증권,KB금융,2025-03-13T09:18:16+09:00,101978124,29,,8만원 가자.. 💪🏼
토스증권,KB금융,2025-03-13T09:17:57+09:00,101978048,30,,ㆍ
토스증권,KB금융,2025-03-13T09:17:46+09:00,101978002,31,,ㆍ
토스증권,KB금융,2025-03-13T09:14:19+09:00,101977228,32,,잡주아니네~
토스증권,KB금융,2025-03-13T09:14:05+09:00,101977184,33,,줄먹.
토스증권,KB금융,2025-03-13T09:09:10+09:00,101976054,34,,7.9는 찍자..
토스증권,KB금융,2025-03-13T09:08:17+09:00,101975842,35,,주식 시작하고 널 찾은게 젤 후회였다
토스증권,KB금융,2025-03-13T01:10:51+09:00,101939070,36,주린이 도움,"주식 시작해보려고 여기서 주식 조금 샀다가 isa계좌까지 만들게 되었어요
관심종목에 etf 담아봤는데
kodex500 tiger500 tigher100tr
이렇게 세종목 분산투자 시작해보려고 합니다

kodex랑 tigher TR상품은 없어진건가요?
찾아보려고 해도 안나와서요 TR이 배당안받고
자동 재투자되는 상품으로 알고 있는데
이렇게 시작해도 되는지 모르겠어요
간단하게라도 알려주실분 도움 구합니다"
