text,label
무죄인데 주가는,1
"반도체 업계는 7일(현지 시간) 미국 라스베이거스에서 열리는 정보기술(IT) 가전 전시회 ‘CES 2025’를 주목하고 있다. 
황 CEO는 올해 CES에서 기조연설과 함께 질의응답을 진행할 예정이다. 이 자리에서 블랙웰 양산 진행 상황과 함께 발열 등 결함 개선 여부에 대해 구체적인 답을 내놓을 것이란 전망이 나온다.",2
국장은 진짜 하는거 아닌듯ㄷㄷㄷ,1
오 뚫는다,1
잠시 국장을 들어왔던 내가 바보지...,1
본전 되자마자 팔고 다시는 안사야겠다…,0
오늘은 불장이라했자네~,2
4만전자 빨리 와라..,1
돈복사 버그 터졌습니다 탑승하세욧,2
쉬었다올게요 :),1
"10만  가기전에  답답해서  회사 망하겠다
젠 장",1
회사 후배가 하이닉스 40만 50만 간다고  눈알이 살짝 돌아서 20만 위여도 사야한다고 하자마자 귀신같이 떨어지네... 근데 나도 삼전 10만 간다고 눈알  돌앗는데  삼전도  그럼  나락 가는건가... 나도 인간지표인데,0
지인에 지인이 이쪽업계 종사자라는데 토스부도날수도 잇다고 하는데 관련기사나 자료가 없네요 혹시 아시는분 계실가 해서 글남겨봅니다,1
"경제에 기여한 기업은맞는데
전략기획실 해체되고 컨트럴타워가 맛이갔음
가뜩이나 관료조직인데 전성기는 지났음",1
건희형이 보고 싶구나..,1
ㅋㅋ 다시 원상복귀....,1
내가   아까   500원이라도  먹으려면   매수  하라고  했지,2
얜 뭐니?,1
나가지마세요. 쭉갑니데이,1
3만원대 풀매수 갈게용,2
"할일 없으니깐 봉사쳐하고있네...
일이나 열심히 할것이지",1
양키들이 사고있다!,2
가자,2
아픈손가락이네여,1
도로마무?,1
오를것 같아서 샀어요,1
"어닝서프라이즈 떴는데
2프로를 못뚫네요
미장은 앱장에서 15프로를 올리는데 이정도 시총이면
참 국장 문제긴하네요",2
ㅋㅋ 어제 장마감에 개미 털고 오전에도 털고 올리네,2
그냥 호재 떴는데도 이러면 ㅋㅋㅋ 답이 좀 없는 거 같은데,2
"개인적으로는 5만대라면 1천주정도는
 줍줍할껀데...",0
망할것 헐~~~,1
"점심시간 끝났다..
삼전아..이젠.. 일해야지!!!
움직여라..위로위로~~!!!",0
다시 가즈아,2
크게가자,2
