platform,stock_name,timestamp,post_id,data_index,title,comment
토스증권,POSCO,2025-03-17T14:37:26+09:00,102473094,2,,"상법개정 지지하는 분 있나요?
주식하는 사람중에 반대하는분은 없겠죠"
토스증권,POSCO,2025-03-17T13:55:11+09:00,102469276,3,,모아가는중
토스증권,POSCO,2025-03-17T12:42:09+09:00,102461624,4,탄핵심판 결과별 주가전망,"인용 바로35만 장기70만
기각 바로25만 장기7만"
토스증권,POSCO,2025-03-17T12:41:24+09:00,102461534,5,,흐르는구나
토스증권,POSCO,2025-03-17T12:40:22+09:00,102461458,6,관망,관망
토스증권,POSCO,2025-03-17T12:00:13+09:00,102457222,7,왜 시원치가않아,!!!!!
토스증권,POSCO,2025-03-17T11:17:37+09:00,102452980,8,,첨에 분명 31만 넘었었는데 와이라노이거
토스증권,POSCO,2025-03-17T11:07:16+09:00,102452024,9,잊고 있다 또 희석,슬슬 해뜰날을~
토스증권,POSCO,2025-03-17T10:56:02+09:00,102450924,10,,힘을 내요 슈퍼포홀~~
토스증권,POSCO,2025-03-17T10:50:11+09:00,102450218,11,,이거 더 오르겠죠? ㅜㅜ 딴 플랫폼에서 60층인데....
토스증권,POSCO,2025-03-17T10:48:16+09:00,102449814,12,,60층계시나요....🥹
토스증권,POSCO,2025-03-17T10:32:09+09:00,102448044,13,,포스코도 봄이 오네요 ㅎ
토스증권,POSCO,2025-03-17T10:28:59+09:00,102447764,14,,모아가기
토스증권,POSCO,2025-03-17T10:11:02+09:00,102445692,15,,"이제 20만대는 영영보지않길 ~~~ !!!
드뎌 30층에서 노네요 .
포홀 !!! 너 숫자 5가 더 어울려?! 알지 ???"
토스증권,POSCO,2025-03-17T10:02:29+09:00,102444512,16,,포스코 홀딩스 네이버 평단가 43만원 !
토스증권,POSCO,2025-03-17T09:29:23+09:00,102439468,17,현대제철 폐업가나?,"과거 ㅡ 직장폐쇄
현재 ㅡ 희망퇴직
미래 ㅡ 정리해고
순인가요? 경쟁사 사라지고 현대차도 포스코 강판 쓰겠네"
토스증권,POSCO,2025-03-17T09:11:01+09:00,102435954,18,,32층 계신가요
토스증권,POSCO,2025-03-16T14:00:19+09:00,102419014,19,한화 제치고 수익률 1위 찍은 ‘이 그룹주’...한 달 새 26% ‘쑥’,"포스코 주주분들 화이팅 입니다

지난해 부진을 씻고 올해는 포스코그룹주가 반등할 가능성이 높다는 전망이다.

남경문 한국투자신탁운용 주식리서치담당은 “2차전지 산업은 올 하반기부터 수요 회복이 나타날 것으로
보인다

국내 철강 산업 역시 그동안 저가 물량 공세를 펼친 중국이 미국의 관세 압박으로 철강 감산에 들어가며 회복될 여지가 있다”고 내다봤다."
토스증권,POSCO,2025-03-15T15:21:21+09:00,102403654,20,,46층임니다!
토스증권,POSCO,2025-03-14T18:04:22+09:00,102242844,21,,평단 60인데 물타는게 좋을까요..ㅠ
토스증권,POSCO,2025-03-14T16:42:26+09:00,102230770,22,,"11월 중순 빨간 선을 깨고 훅 떨어짐.
이후 다시한번 테스트하고 쭉 하락만함.
지금 다시 그 지점에 도달했음.
뚫어준다면 엄청난 상승이 예상됨.
그러나 그런 가능성은 낮다고 봄.
30-40만원은 물린 사람들이 많음. 시체밭.
일목균형표 구름대가 양운인건 긍정적이지만
이격이 있기에 다시 붙을 수 있음.
다음 자리는 26-28만이 좋아보임."
토스증권,POSCO,2025-03-14T16:03:29+09:00,102227818,23,,천천히 올라가자
토스증권,POSCO,2025-03-14T15:29:28+09:00,102225014,24,,"500주 주주로 말합니다
불과 2주전에 22만간놈 입니다.
30만원 또는 20후반에서 버텨주는거에
감사할 뿐 입니다
이정도 무거운 애가 단기간 올라오면 조정은 당연 한겁니다. 올린것도 그냥 알래스카 호재 하나뿐이죠
기다려보십쇼 크게만 안내리면 됩니다
아직 추세는 살아있습니다"
토스증권,POSCO,2025-03-14T15:18:45+09:00,102223888,25,,할아버지가 역사점 고점에사서 2025년 고점에서 츄매를 했단다
토스증권,POSCO,2025-03-14T15:07:37+09:00,102222532,26,20만원 깨러간다.,얼른 팔아라
토스증권,POSCO,2025-03-14T14:35:15+09:00,102218426,27,,"여기서 떨어지면 24만 ~ 25만 보러가요~
이 반등에서 좀 덜어내세요
부분 손절도 고려하면 좋음"
토스증권,POSCO,2025-03-14T14:05:39+09:00,102215054,28,,이왕 와리가리 할거면 50층서 하자
토스증권,POSCO,2025-03-14T14:05:20+09:00,102215020,29,,홀딩아 니가비중이제일많아 니가살아야 내가산다 제발 화성가자~~
토스증권,POSCO,2025-03-14T13:58:41+09:00,102214286,30,,단타하러았다가 장투하게생겼네요
토스증권,POSCO,2025-03-14T13:16:42+09:00,102209640,31,,탈출하나싶었다..
토스증권,POSCO,2025-03-14T13:16:01+09:00,102209566,32,,꺼억
토스증권,POSCO,2025-03-14T13:10:37+09:00,102209018,33,,"빨간 추세줄 올라타면 다시 올게요.
지금은 저항 맞고 떨어질 수 있어보임."
토스증권,POSCO,2025-03-14T12:11:21+09:00,102203020,34,,죄송합니다. 아까 빨간불일때 제가타서 파란불이네요
토스증권,POSCO,2025-03-14T12:01:16+09:00,102201940,35,,ㅋㅋ 작전성공
토스증권,POSCO,2025-03-14T11:30:14+09:00,102198738,36,,옺 이제 올린다
토스증권,POSCO,2025-03-14T11:15:46+09:00,102197278,37,,외인들 들어오기 시작하네요
