raw_text,text_tfidf,text_bert,time,prob_fear,prob_neutral,prob_greed,pred_label
먼고,먼고,먼고,2025-01-09T12:40:49+09:00,0.0483,0.9248,0.027,1
입성했는데 이게맞는건가..,입성했는데 이게맞는건가,입성했는데 이게맞는건가..,2021-11-01T15:23:39+09:00,0.2295,0.6944,0.0761,1
네마녀가 코앞인데 이러면 14만원 가겠단거냐,네마녀가 코앞인데 이러면 14만원 가겠단거냐,네마녀가 코앞인데 이러면 14만원 가겠단거냐,2024-09-19T11:40:59+09:00,0.1135,0.696,0.1905,1
"석렬이 때매 내일 나락이냐?
아니면 장폐쇄냐?",석렬이 때매 내일 나락이냐 아니면 장폐쇄냐,석렬이 때매 내일 나락이냐? 아니면 장폐쇄냐?,2024-12-03T23:10:35+09:00,0.5425,0.2904,0.1671,0
"엔비디아 4%  ㄷㄷㄷ
과연 얼마나?",엔비디아 4 과연 얼마나,엔비디아 4 ㄷㄷㄷ 과연 얼마나?,2025-01-23T06:27:49+09:00,0.0682,0.8939,0.0379,1
"그냥 20에 주문 걸어놓고 안 봅니다 
언젠간 20 오겠지",그냥 20에 주문 걸어놓고 안 봅니다 언젠간 20 오겠지,그냥 20에 주문 걸어놓고 안 봅니다 언젠간 20 오겠지,2024-11-20T14:18:35+09:00,0.0734,0.855,0.0716,1
아…10만 밑으로는 안돼ㅠㅜ,아10만 밑으로는 안돼,아10만 밑으로는 안돼ㅠㅜ,2021-08-12T09:16:57+09:00,0.0451,0.9119,0.043,1
아무도 없겠죠? ㅎㅎ,아무도 없겠죠,아무도 없겠죠? ㅎㅎ,2025-01-09T11:32:48+09:00,0.0468,0.9285,0.0247,1
감쟈링,감쟈링,감쟈링,2024-03-21T13:34:21+09:00,0.0554,0.8487,0.096,1
익절,익절,익절,2024-03-21T09:57:43+09:00,0.0226,0.0551,0.9223,2
메타 차트량 똑같누,메타 차트량 똑같누,메타 차트량 똑같누,2024-04-25T16:09:54+09:00,0.1223,0.8177,0.06,1
하이닉스 11만 넘으면 상폐되나요? ㄱ빡치네,하이닉스 11만 넘으면 상폐되나요 빡치네,하이닉스 11만 넘으면 상폐되나요? ㄱ빡치네,2021-10-07T11:19:08+09:00,0.4485,0.3698,0.1817,0
키야 ㅋㅋ,키야,키야 ㅋㅋ,2021-07-30T09:18:34+09:00,0.0506,0.9317,0.0177,1
경기가 조금 살아났으면 ㅜㅜ,경기가 조금 살아났으면,경기가 조금 살아났으면 ㅜㅜ,2023-09-21T08:12:04+09:00,0.0886,0.6429,0.2685,1
연어같은 자식,연어같은 자식,연어같은 자식,2024-12-16T13:18:22+09:00,0.1122,0.864,0.0239,1
급발진 하고 찍싸는거 실화냐,급발진 하고 찍싸는거 실화냐,급발진 하고 찍싸는거 실화냐,2024-04-01T09:32:07+09:00,0.5298,0.3283,0.1419,0
"17깨지면 30주 넣고 16.5에 50주넣고 16층에 100주넣는다

근데 더 빠진다? 코인 익절한 돈 가져온다  날 화 화나게하지마!",17깨지면 30주 넣고 165에 50주넣고 16층에 100주넣는다 근데 더 빠진다 코인 익절한 돈 가져온다 날 화 화나게하지마,17깨지면 30주 넣고 16.5에 50주넣고 16층에 100주넣는다 근데 더 빠진다? 코인 익절한 돈 가져온다 날 화 화나게하지마!,2024-11-20T17:32:33+09:00,0.3199,0.3048,0.3753,2
이게 무슨일인가요 ㅠㅠ,이게 무슨일인가요,이게 무슨일인가요 ㅠㅠ,2023-06-30T09:36:27+09:00,0.095,0.8758,0.0292,1
뭐냐고 또 … ㅜ,뭐냐고 또,뭐냐고 또 ㅜ,2024-11-27T09:26:19+09:00,0.0791,0.8984,0.0225,1
킹반영 지렸다ㅋㅋ,킹반영 지렸다,킹반영 지렸다ㅋㅋ,2024-10-24T09:13:41+09:00,0.1059,0.8067,0.0873,1
"10만원 밑으로가면 걍 손절친다고했는데
이걸 진짜 가버기네",10만원 밑으로가면 걍 손절친다고했는데 이걸 진짜 가버기네,10만원 밑으로가면 걍 손절친다고했는데 이걸 진짜 가버기네,2022-06-13T10:42:35+09:00,0.2345,0.672,0.0935,1
그치~~~치고 오를줄 알았다,그치치고 오를줄 알았다,그치치고 오를줄 알았다,2024-07-16T12:32:27+09:00,0.1477,0.5514,0.3009,1
외인 냅두고 개인들 먹어봅시다,외인 냅두고 개인들 먹어봅시다,외인 냅두고 개인들 먹어봅시다,2024-07-19T15:09:06+09:00,0.0711,0.7925,0.1364,1
시원하게 가보자,시원하게 가보자,시원하게 가보자,2022-10-31T09:15:05+09:00,0.0143,0.1188,0.8669,2
