공포 확률,중립 확률,탐욕 확률,공포탐욕지수
0.0522,0.8999,0.048,49.79
0.1259,0.4485,0.4256,64.99
0.1651,0.6506,0.1843,50.96
0.4204,0.3928,0.1868,38.32
0.1649,0.0515,0.7837,80.94
0.1778,0.6377,0.1844,50.33
0.066,0.7566,0.1774,55.57
0.1721,0.2917,0.5362,68.2
0.249,0.5578,0.1932,47.21
0.3491,0.51,0.141,39.59
0.0299,0.9586,0.0115,49.08
0.0403,0.4617,0.498,72.89
0.1073,0.6215,0.2712,58.19
0.0716,0.8748,0.0536,49.1
0.1461,0.5628,0.2911,57.25
0.1112,0.8132,0.0755,48.22
0.2612,0.601,0.1379,43.83
0.0783,0.748,0.1738,54.78
0.0429,0.9429,0.0142,48.56
0.1386,0.7802,0.0812,47.13
0.0311,0.9539,0.015,49.2
0.2367,0.5444,0.2189,49.11
0.0666,0.8724,0.0611,49.72
0.026,0.9615,0.0125,49.32
0.3264,0.4122,0.2614,46.75
0.1776,0.7245,0.0979,46.02
0.3908,0.2231,0.3861,49.77
0.0191,0.9421,0.0388,50.98
0.056,0.8987,0.0453,49.46
0.2641,0.376,0.3599,54.79
0.2564,0.3107,0.4329,58.82
0.1032,0.7252,0.1716,53.42
0.0888,0.7517,0.1596,53.54
0.0182,0.0707,0.9111,94.64
0.0827,0.824,0.0933,50.53
0.1768,0.5793,0.2439,53.36
0.0189,0.1205,0.8605,92.08
0.3495,0.5869,0.0636,35.71
0.038,0.8535,0.1085,53.52
0.2713,0.5737,0.1551,44.19
0.0754,0.5986,0.326,62.53
0.1233,0.3529,0.5238,70.03
0.3941,0.3067,0.2992,45.26
0.0959,0.8692,0.0349,46.95
0.1004,0.4491,0.4506,67.51
0.09,0.8117,0.0984,50.42
0.3867,0.3284,0.2849,44.91
0.1262,0.7502,0.1235,49.87
0.1678,0.3526,0.4796,65.59
0.0187,0.0572,0.9241,95.27
0.0256,0.9135,0.061,51.77
0.0467,0.2411,0.7122,83.28
0.043,0.9182,0.0388,49.79
0.1181,0.6036,0.2783,58.01
0.0663,0.4555,0.4781,70.59
0.0272,0.7523,0.2205,59.66
0.0413,0.2046,0.7541,85.64
0.0921,0.4934,0.4145,66.12
0.0789,0.8897,0.0313,47.62
0.188,0.7093,0.1027,45.73
0.0343,0.8317,0.134,54.99
0.0741,0.8597,0.0662,49.6
0.0424,0.8896,0.0681,51.29
0.1463,0.7781,0.0756,46.47
0.2797,0.1956,0.5247,62.25
0.3058,0.2964,0.3978,54.6
0.3103,0.5607,0.129,40.94
0.3935,0.4407,0.1658,38.61
0.316,0.5478,0.1362,41.01
0.4097,0.1193,0.471,53.06
0.1226,0.7036,0.1739,52.56
0.1599,0.5453,0.2948,56.75
0.2135,0.7118,0.0747,43.06
0.0568,0.8551,0.0881,51.57
0.0638,0.9088,0.0274,48.18
0.0577,0.8669,0.0754,50.89
0.0339,0.8753,0.0908,52.85
0.0499,0.9358,0.0143,48.22
0.4278,0.1631,0.4091,49.07
0.0362,0.9308,0.0329,49.84
0.0644,0.8668,0.0688,50.22
0.0261,0.954,0.0199,49.69
0.0354,0.9502,0.0144,48.95
0.4099,0.4518,0.1382,36.41
0.0627,0.4382,0.4992,71.83
0.2365,0.1682,0.5953,67.94
0.1609,0.6903,0.1487,49.39
0.0535,0.3053,0.6412,79.38
0.2447,0.5617,0.1936,47.44
0.0247,0.9627,0.0126,49.39
0.0596,0.7532,0.1872,56.38
0.0676,0.3226,0.6098,77.11
0.0305,0.9556,0.0138,49.16
0.153,0.592,0.255,55.1
0.2546,0.389,0.3564,55.09
0.2413,0.659,0.0996,42.91
0.3256,0.5215,0.1529,41.37
0.0234,0.9638,0.0128,49.47
0.0764,0.1218,0.8018,86.27
0.104,0.819,0.077,48.65
0.1278,0.7091,0.1631,51.77
0.1827,0.6457,0.1716,49.44
0.0964,0.6071,0.2965,60.01
0.0341,0.909,0.0569,51.14
0.3328,0.2118,0.4553,56.13
0.0705,0.7949,0.1346,53.21
0.2847,0.237,0.4783,59.68
0.2458,0.6445,0.1097,43.2
0.1643,0.5016,0.3341,58.49
0.0274,0.9472,0.0254,49.9
0.1326,0.7985,0.0689,46.81
0.2462,0.6438,0.11,43.19
0.0418,0.9062,0.052,50.51
0.0687,0.8896,0.0418,48.66
0.0234,0.9638,0.0128,49.47
0.1498,0.7061,0.1441,49.71
0.0731,0.6896,0.2373,58.21
0.0566,0.9141,0.0294,48.64
0.0433,0.8667,0.0899,52.33
0.121,0.7808,0.0982,48.86
0.2161,0.4138,0.3701,57.7
0.0633,0.9181,0.0186,47.77
0.024,0.961,0.015,49.55
0.2409,0.2561,0.5031,63.11
0.0849,0.8446,0.0705,49.28
0.0252,0.9512,0.0236,49.92
0.0354,0.9502,0.0144,48.95
0.1667,0.7033,0.13,48.17
0.0643,0.7058,0.2298,58.28
0.0411,0.8931,0.0658,51.24
0.0688,0.896,0.0352,48.32
0.0221,0.0668,0.9112,94.45
0.0724,0.8667,0.061,49.43
0.0449,0.9068,0.0484,50.18
0.1249,0.8437,0.0314,45.32
0.051,0.8987,0.0503,49.97
0.3674,0.2125,0.4201,52.63
0.0303,0.936,0.0337,50.17
0.0458,0.8786,0.0756,51.49
0.1654,0.7291,0.1055,47.01
0.3634,0.2815,0.3551,49.58
0.0373,0.9419,0.0208,49.18
0.1021,0.4216,0.4763,68.71
0.0781,0.8887,0.0332,47.76
0.1451,0.7388,0.1161,48.55
0.0481,0.929,0.0229,48.74
0.3428,0.193,0.4642,56.07
0.5335,0.2458,0.2207,34.36
0.0858,0.6432,0.271,59.26
0.0355,0.8283,0.1363,55.04
0.1367,0.6707,0.1926,52.8
0.0427,0.2273,0.73,84.37
0.3843,0.4607,0.155,38.54
0.2566,0.4688,0.2746,50.9
0.026,0.8562,0.1178,54.59
0.028,0.9581,0.0139,49.3
0.1208,0.4776,0.4017,64.05
0.1943,0.5768,0.2288,51.72
0.0943,0.516,0.3898,64.77
0.114,0.7305,0.1555,52.07
0.0583,0.3765,0.5652,75.34
0.369,0.1974,0.4335,53.22
0.1626,0.7426,0.0948,46.61
0.0342,0.9525,0.0132,48.95
0.3288,0.1773,0.4939,58.25
0.0325,0.9504,0.0172,49.24
0.0199,0.8775,0.1026,54.14
0.0283,0.1406,0.8311,90.14
0.2642,0.5065,0.2294,48.26
0.041,0.8834,0.0756,51.73
0.3661,0.4749,0.159,39.65
0.0176,0.916,0.0664,52.44
0.0983,0.863,0.0387,47.02
0.033,0.9428,0.0241,49.55
0.4288,0.2904,0.2807,42.6
0.2291,0.364,0.4068,58.88
0.0474,0.9237,0.0289,49.08
0.0904,0.8593,0.0503,48.0
0.0677,0.6114,0.3209,62.66
0.0457,0.2332,0.7211,83.77
0.133,0.8211,0.0458,45.64
0.031,0.1883,0.7807,87.48
0.1331,0.108,0.7589,81.29
0.1682,0.6836,0.1481,48.99
0.1843,0.4882,0.3274,57.15
0.0558,0.8516,0.0926,51.84
0.3241,0.2077,0.4682,57.21
0.1433,0.5158,0.3409,59.88
0.0493,0.835,0.1157,53.32
0.033,0.8629,0.1042,53.56
0.0738,0.5454,0.3808,65.35
0.0321,0.9452,0.0227,49.53
0.0449,0.7764,0.1787,56.69
0.0275,0.9055,0.067,51.97
0.0387,0.3859,0.5755,76.84
0.1605,0.7236,0.1159,47.77
0.3231,0.296,0.3809,52.89
0.0765,0.0558,0.8676,89.56
0.2616,0.5392,0.1992,46.88
0.4193,0.3111,0.2696,42.52
0.0254,0.9611,0.0136,49.41
0.162,0.67,0.168,50.3
0.1174,0.8093,0.0733,47.8
0.2034,0.4842,0.3124,55.45
0.0377,0.9387,0.0235,49.29
0.0344,0.934,0.0316,49.86
0.0611,0.6194,0.3196,62.93
0.0729,0.3701,0.557,74.2
0.0661,0.89,0.044,48.89
0.0685,0.8233,0.1083,51.99
0.0556,0.6295,0.3149,62.97
0.0534,0.8296,0.1169,53.18
0.3283,0.3241,0.3476,50.97
0.0791,0.8618,0.0591,49.0
0.0591,0.9141,0.0268,48.39
0.0776,0.6877,0.2347,57.85
0.0328,0.9451,0.0221,49.46
0.1129,0.5648,0.3223,60.47
0.0282,0.9562,0.0156,49.37
0.0693,0.4617,0.469,69.98
0.1467,0.767,0.0863,46.98
0.0287,0.9588,0.0124,49.19
0.3227,0.4933,0.1841,43.07
0.2508,0.6673,0.0819,41.55
0.0743,0.7566,0.1692,54.74
0.0317,0.9553,0.013,49.07
0.0424,0.9132,0.0445,50.11
0.0725,0.8817,0.0458,48.66
0.0236,0.0886,0.8878,93.21
0.2035,0.3221,0.4744,63.54
0.0876,0.8458,0.0667,48.96
0.1543,0.6456,0.2,52.29
0.0292,0.8031,0.1678,56.93
0.2318,0.24,0.5282,64.82
0.1043,0.8249,0.0708,48.33
0.3653,0.4383,0.1964,41.56
0.0452,0.9395,0.0153,48.51
0.0552,0.4775,0.4673,70.6
0.0789,0.8537,0.0673,49.42
0.1162,0.7565,0.1273,50.56
0.0632,0.574,0.3628,64.98
0.0643,0.8489,0.0867,51.12
0.0498,0.91,0.0401,49.52
0.076,0.6856,0.2384,58.12
0.0745,0.1363,0.7892,85.73
0.3009,0.5871,0.112,40.56
0.0281,0.9315,0.0404,50.61
0.0504,0.9194,0.0302,48.99
0.0809,0.1383,0.7808,85.0
0.2254,0.6135,0.1611,46.79
0.0346,0.9491,0.0163,49.09
0.0705,0.8146,0.115,52.22
0.1403,0.8055,0.0541,45.69
0.1898,0.5396,0.2706,54.04
0.0537,0.8902,0.0561,50.12
0.1883,0.4119,0.3998,60.58
0.0924,0.8593,0.0483,47.8
0.0604,0.7966,0.143,54.13
0.0718,0.9008,0.0274,47.78
0.1627,0.6728,0.1645,50.09
0.1989,0.6973,0.1037,45.24
0.0467,0.4943,0.459,70.61
0.0857,0.6035,0.3108,61.26
