platform,stock_name,timestamp,post_id,data_index,title,comment
토스증권,삼성바이오로직스,2025-03-17T07:41:25+09:00,102431986,2,"""삼성바이오로직스, 연매출 5.5조 목표… 4공장 가동률 상승·5공장 가동 임박""","삼성바이오로직스가 올해 연매출 5조 5000억 원을 목표로 4공장의 본격적인 가동과 5공장 선수주 확대에 나섭니다. 지난해 역대 최대 매출 4조 5473억 원, 영업이익 1조 3201억 원을 기록한 데 이어, 4공장의 가동률 상승과 대형 CMO(위탁생산) 계약을 바탕으로 실적 성장을 이어갈 전망입니다.

5공장은 오는 4월 가동 개시 예정이며, 차세대 치료제로 주목받는 ADC(항체-약물 접합체) 시장에서도 경쟁력을 확대하고 있습니다. 또한 일본 제약사들과의 파트너십 강화를 위해 도쿄에 세일즈 오피스를 설치, 글로벌 네트워크를 확장하고 있습니다.

삼성바이오로직스는 ESG 경영 강화에도 속도를 내며 세계 최초 ‘테라 카르타 실’(Terra Carta Seal) 수상 및 에코바디스 ESG 평가에서 최고 등급 획득 등의 성과를 거뒀습니다. 업계에서는 지속적인 설비 확충과 글로벌 협력이 향후 실적 성장의 핵심 요인이 될 것으로 기대하고 있습니다."
토스증권,삼성바이오로직스,2025-03-16T20:06:08+09:00,102424888,3,,"대한민국 산업의 미래
https://m.blog.naver.com/bagwel82/223798343689"
토스증권,삼성바이오로직스,2025-03-14T16:02:37+09:00,102227728,4,다음주엔 양전해줄꺼지?,기다릴께~♡
토스증권,삼성바이오로직스,2025-03-14T13:46:11+09:00,102212832,5,,트럼프 스나이퍼가 항상 염려된다
토스증권,삼성바이오로직스,2025-03-14T11:11:55+09:00,102196872,6,,지금인데
토스증권,삼성바이오로직스,2025-03-14T10:50:35+09:00,102194196,7,재매수^!,"많이 떨어졌다 는 생각에
재매수~!"
토스증권,삼성바이오로직스,2025-03-14T09:58:40+09:00,102186732,8,,ㆍ
토스증권,삼성바이오로직스,2025-03-14T09:09:21+09:00,102179166,9,,정찰 시작
토스증권,삼성바이오로직스,2025-03-14T09:04:33+09:00,102178312,10,,10층 밑으로 가면 드간다
토스증권,삼성바이오로직스,2025-03-13T14:46:21+09:00,102017886,11,,일단 구매
토스증권,삼성바이오로직스,2025-03-13T14:11:27+09:00,102013874,12,,본색이 들어나네 100밑으로 가겠구만
토스증권,삼성바이오로직스,2025-03-13T12:35:39+09:00,102003638,13,,"어디까지 갈거닝?ㅠㅠ
미춰ㅠ"
토스증권,삼성바이오로직스,2025-03-13T10:18:35+09:00,101988452,14,단기,단타
토스증권,삼성바이오로직스,2025-03-12T10:01:14+09:00,101763406,15,삼성바이오로직스,단기저점이라 생각하고 살짝 담가봅니다 ~!
토스증권,삼성바이오로직스,2025-03-10T14:43:43+09:00,101268368,16,단기저점은 나왔네요 오늘 종가에 물타기갑니다.,ㅎㅎ
토스증권,삼성바이오로직스,2025-03-10T13:54:30+09:00,101263588,17,,올린 거 다 빠지고 손절 라인에서 팔렸네요 ㅎㅎ
토스증권,삼성바이오로직스,2025-03-10T09:05:54+09:00,101228484,18,,100가니?ㅠㅠ
토스증권,삼성바이오로직스,2025-03-10T09:02:48+09:00,101227800,19,,올린거 다 뺐네
토스증권,삼성바이오로직스,2025-03-08T11:42:01+09:00,101185968,20,지금 사야할때 인가요?,지금 살까요!?!?
토스증권,삼성바이오로직스,2025-03-07T14:34:49+09:00,100978596,21,,어휴…
토스증권,삼성바이오로직스,2025-03-07T10:20:16+09:00,100940096,22,,지금부터 매입시작
토스증권,삼성바이오로직스,2025-03-07T10:18:32+09:00,100939774,23,,정찰
토스증권,삼성바이오로직스,2025-03-06T17:28:20+09:00,100741644,24,,?
