platform,stock_name,timestamp,post_id,data_index,title,comment
토스증권,SK이노베이션,2025-03-17T14:51:38+09:00,102474512,2,,거래량없는 장대음봉..??
토스증권,SK이노베이션,2025-03-17T14:44:14+09:00,102473674,3,,오르자
토스증권,SK이노베이션,2025-03-17T14:34:21+09:00,102472784,4,,한달동안 오른게 이틀만에 무너지는구나...
토스증권,SK이노베이션,2025-03-17T14:32:41+09:00,102472612,5,,진짜 지옥까지 가는구나....
토스증권,SK이노베이션,2025-03-17T13:00:16+09:00,102463270,6,,"언제까지 매수해야 배당금 받을 수 있을까요?
배당락도 감수 해야겠지요?^^"
토스증권,SK이노베이션,2025-03-17T12:26:24+09:00,102460010,7,추매,"평단 127,900
주주분들 화이팅하세요~
웃는날 있을거예요~"
토스증권,SK이노베이션,2025-03-17T12:12:27+09:00,102458354,8,,어이가 없네
토스증권,SK이노베이션,2025-03-17T12:02:39+09:00,102457448,9,,25년 들어와서 야금 야금 오른거 한순간에 털어 먹네 ㅋㅋㅋ
토스증권,SK이노베이션,2025-03-17T10:33:32+09:00,102448166,10,첫 진입,주주분들 화이팅하세욥
토스증권,SK이노베이션,2025-03-17T09:53:15+09:00,102443230,11,,이거팔아 삼성사나?? ㅎ
토스증권,SK이노베이션,2025-03-17T09:25:30+09:00,102438720,12,,"https://youtu.be/K5O0xzDpV_A?si=Lheny9CDUjwrejAF

힘차게 달려라 은하철도 999~
힘차게 달려라 석유산업 이노베이션~"
토스증권,SK이노베이션,2025-03-17T09:06:37+09:00,102434944,13,난 끝까지 간다!,"이래놓고 오를것같아서
계속 갑니다!"
토스증권,SK이노베이션,2025-03-17T09:05:40+09:00,102434756,14,,https://naver.me/IMy6BS2m
