platform,stock_name,timestamp,post_id,data_index,title,comment
토스증권,한국전력,2025-03-17T14:32:48+09:00,102472626,2,,https://m.blog.naver.com/trendchaser_/223799264099
토스증권,한국전력,2025-03-17T13:43:44+09:00,102468078,3,,"야수의 얼굴에 토끼의 심장
한번도 제대로 수익을 본적이 없음
오르는척 하다가 개미털기"
토스증권,한국전력,2025-03-17T10:16:54+09:00,102446412,4,진입,"투입 예정 시드의 1/16
투입된 시드 1/16
평단 22175"
토스증권,한국전력,2025-03-17T09:21:43+09:00,102438036,5,,오오 한전 50년 전 가격인데 들어갈만한가
토스증권,한국전력,2025-03-14T14:59:11+09:00,102221524,6,,왤케 안오름 ;;
토스증권,한국전력,2025-03-14T09:12:20+09:00,102179718,7,,5프로 기자~
토스증권,한국전력,2025-03-12T22:43:03+09:00,101890028,8,,"포스코홀딩스 다음 중투 국내주식
포홀은 벌써 20% 올랐기 때문에 이제는 패스,
한국전력의 상황이 매우 개선됐음.
1. 24년 3조 6000억 원 순이익 기록 흑자 전환
2. 배당이 살아났음. 214원
3. 연료비 17% 절감 + 석탄.LNG 단가 하락 수혜
4. 원전 가동률 증가 90% 전망
5. 25년엔 EPS가 50% 이상 증가할것으로 예상
6. 12개월 선행 P/E 2배로 과거 7배보다 낮은 수준
7. 원전 설비 문제나 연료비 상승, 정책적 배당 축소 가능성 있지만
8. 흑자 전환과 배당 재개, 원전 확대 모멘텀이 더 커보임
9. 정부에서 전기료를 올린다면 매출+수익성 개선 가속화 예정"
토스증권,한국전력,2025-03-11T17:14:25+09:00,101588054,9,,좀 날아봐
토스증권,한국전력,2025-03-11T13:29:12+09:00,101560462,10,,방어잘되네
토스증권,한국전력,2025-03-11T04:11:14+09:00,101478612,11,주가는 장식인가,"투자를 하면서 종목의 주가가 기업가치를 적절히 반영하고 있는지 체크하는 건 기본이죠. PER이니 PBR이니 하는 유명한 지표들도 많고요. 지표로 정형화되었지만, 결국 기업이 벌어들이는 수익이나 기업의 자산 가치와 시가총액을 비교하는 방식입니다.

한국전력이라는 기업이 있습니다. 탈원전이니 부채한도니 전기료 인상이니 다 치워두고, 담백하게 숫자만 몇 개 볼까요. 지금 주가에서 이 친구 시가총액이 14.3조입니다.

그런데 2025년 예상 영업이익이 13조입니다. 순이익은 7.2조 정도군요. 대충 1년에서 2년 동안 이 기업이 버는 돈을 차곡차곡 모으면 기업 자체를 살 수 있다는 소립니다. 그 뒤로도 기업가치의 절반씩 매년 돈이 쌓이겠네요.

세상에 PER 450인 팔란티어라는 회사도 버젓이 존재하는데 이런 대바겐세일이 어딨습니까? 그런데 주가는 이런저런 호재를 받고 겨우 10% 쯤 올랐습니다. 팔란티어는 450년 뒤 실적까지 끌어다 쓰는데 한전은 2년치도 못 쳐주겠다는군요.

물론 이 엄청난 할인율의 근거야 알고 있습니다. 300%가 넘는 부채비율, 기한이 정해진 사채발행한도, 누적된 적자, 정치권의 압박...

아무리 그래도 그렇죠. 한전의 forward PER은 겨우 2 수준에 PBR은 0.4까지 내려왔습니다. 통으로 인수하면 2년 만에 원금회수가 되지를 않나, 자산을 싹 다 팔아치우면 매입가의 2.5배로 돌아오지를 않나 당황스러운 저평가입니다. 배당도 재개했고, 2024년을 지나면서 상당한 턴어라운드가 진행되었지만 여론은 싸늘하군요.

비슷한 처지의 미국 기업으로 월그린이라는 약국 체인이 있습니다. 부채비율 319%, ROE -80%에 배당도 중단한 끔찍한 상황인데 forward PER은 7입니다. 사모펀드에 인수되어 사지가 분질러지고 경영 정상화를 당할 예정인 기업도 이 정도 값어치는 인정해줍니다.

정상적인 가치 평가와는 거리가 너무나도 먼 한전은 언제쯤 빛을 볼 수 있을까요."
토스증권,한국전력,2025-03-10T18:12:39+09:00,101298346,12,트럼프 황제님,유가좀 내려주세요ㅜㅜ
토스증권,한국전력,2025-03-10T17:11:03+09:00,101284402,13,내가 이걸,"8년을 들고 있다 손절을 쳤는데 배당은 두 번

스타트업도 아니고 이런 대형주가 지맘대로 배당하고 그래서 지금 배당한다고 대단한듯 광고 하는게 유머

이딴거에 속기엔 너무 많은 피해자가 이미 존재 함

이유는 신뢰의 문제

국장 노답"
토스증권,한국전력,2025-03-10T13:29:22+09:00,101261440,14,,매일 2퍼씩가자
토스증권,한국전력,2025-03-10T10:22:14+09:00,101243084,15,,한전은 뭐 올라도 찔끔이네 ㅋㅋ
토스증권,한국전력,2025-03-10T10:20:49+09:00,101242900,16,,반려주식
토스증권,한국전력,2025-03-10T01:28:39+09:00,101222260,17,트럼프가 장기적으로 유가 내리는거 믿고,"한전 올인합니다

국민연금도 2024년3월에서 6월까지 한국전력 지분

5%정도 늘린거 보면 대략 평단이 지금 가격대일거 같아서 괜찬아 보이네요"
