platform,stock_name,timestamp,post_id,data_index,title,comment
토스증권,현대차,2025-03-17T13:52:29+09:00,102469000,2,,외인 10연속 거래일동안 샀는디 엄청 안오르네 ㄷ ㄷ
토스증권,현대차,2025-03-17T13:36:04+09:00,102467386,3,,배당받은거 토해낼때까지 가둬두기 무빙.
토스증권,현대차,2025-03-17T12:58:07+09:00,102463032,4,"현대차그룹, IIHS 충돌 평가서 '안전 최강' 입증","* TSP+ 등급 최다 선정

* 현대차그룹은 '톱 세이프티 픽 플러스(TSP+)' 등급에 11개 차종, '톱 세이프티 픽(TSP)' 등급에 1개 차종이 선정되었습니다.

* 이는 글로벌 자동차 그룹 중 가장 많은 TSP+ 등급 선정입니다."
토스증권,현대차,2025-03-17T12:53:30+09:00,102462622,5,현대차로 삼행시,"현명한 투자자는
대부분 우량주를 분할매수한다
차곡차곡 모아가라"
토스증권,현대차,2025-03-17T12:50:21+09:00,102462362,6,,현대차 주가를 구원해주소서.....!
토스증권,현대차,2025-03-17T12:46:04+09:00,102461974,7,호재 직접들고왔다,"젠슨황 : 자동차 산업의 미래는 ai 데이터 중심으로 빠르게 변화될겁니다 그 중심에 현대자동차가 있습니다! 엔비디아는 횬다이와 더 나은 모빌리티 혁신을 만들어 갈 것입니다 !!!!!!!!!!!!

다음날 : 30프로 떡상"
토스증권,현대차,2025-03-17T12:37:37+09:00,102461236,8,현대는,젠슨황이 기조연설때 언급안해주냐
토스증권,현대차,2025-03-17T12:32:59+09:00,102460806,9,,싸다 싸
토스증권,현대차,2025-03-17T12:21:06+09:00,102459396,10,"현대차 유럽 전기차 생산 본격화… 모티브링크, 수혜주로 부각","모티브링크가 현대자동차의 유럽 전기차 생산 확대에 따른 수혜 기대감이 주가에 긍정적인 영향을 미치고 있는 것으로 해석된다.

현대차의 유럽 전기차 생산이 본격화되면서 모티브링크의 핵심 부품 공급이 늘어날 것으로 전망된다.

모티브링크는 현대차 유럽 전기차 생산의 핵심 부품인 전력변환장치(EPCU)를 공급하고 있다."
토스증권,현대차,2025-03-17T12:09:29+09:00,102458076,11,,고마 올라가라 학 씨!
토스증권,현대차,2025-03-17T12:01:49+09:00,102457374,12,,21층 히잉
토스증권,현대차,2025-03-17T11:58:59+09:00,102457120,13,,"현대차는 사실상 설계과정 하나하나를 다 상장해놓은거임ㅋㅋㅋ심지어 우선주까지 상장해놓음ㅋㅋ 우리나라 재벌 기업들 중에서도 상당히 악질적인 지배구조를 가지고 있음
이걸 뜯어고치지 않는 이상 주가는 영원히 이 모양일거임. 근데 뭐 현실은 정의선이 대단한 기업가인거처럼 찬양 받으니ㅋㅋ"
토스증권,현대차,2025-03-17T11:36:15+09:00,102454798,14,오늘같은날은 좀 올라라,어휴 지수가 움직여도 요지부동
토스증권,현대차,2025-03-17T11:32:09+09:00,102454432,15,현대차 안타는 이유,진짜 안나감 제네시스는 더안나감 근데 회사 상징색이 파란색 말다함
토스증권,현대차,2025-03-17T11:29:35+09:00,102454148,16,트럼프취임식에 100만달러기부,"입주해봅니당ㅎㅎ
머라도 되겠지ㅋㅋㅋㅋㅋ
전기차 잘팔린다든데?"
토스증권,현대차,2025-03-17T11:21:47+09:00,102453414,17,,"한국 자동차가 이제 경쟁력이 없는거지..
테슬라에 중국차에..
자율주행이 넘사벽이 되어버리니
한국차는 그냥 구닥다리 엔진에
껍데기만 바꾸며 한국민 호구잡고
겨우 버티는중
혹시나 했는데 역시나..
패배 인정합니다"
토스증권,현대차,2025-03-17T10:43:50+09:00,102449304,18,,아아 손절마렵다
토스증권,현대차,2025-03-17T10:41:14+09:00,102449008,19,,정체가 뭐냐
토스증권,현대차,2025-03-17T10:29:39+09:00,102447824,20,,22층좀 와주라
토스증권,현대차,2025-03-17T10:29:36+09:00,102447822,21,넌,내평단오면 패대기간다 빨리와라
토스증권,현대차,2025-03-17T10:24:34+09:00,102447242,22,,20뚫겠다
토스증권,현대차,2025-03-17T10:16:24+09:00,102446358,23,,크아아아아아아어아아아아아아아악!!!!!!!!
토스증권,현대차,2025-03-17T10:15:19+09:00,102446260,24,,병* 같은 주식
토스증권,현대차,2025-03-17T10:15:10+09:00,102446250,25,,코스피가 1.5 오르는데 마이너스ㅋㅋㅋㅋㅋㅋ 정회장님 걍 상장폐지합시다
토스증권,현대차,2025-03-17T09:59:30+09:00,102444118,26,다른주식 다 오르는데,왜 얘는 제자리죠?
토스증권,현대차,2025-03-17T09:57:09+09:00,102443762,27,간다,파멸적 상승
토스증권,현대차,2025-03-17T09:54:10+09:00,102443328,28,20마넌은 일단 넘기자...,주가가 이게머냐???
토스증권,현대차,2025-03-17T09:52:30+09:00,102443120,29,,아진짜..답답하구만ㅠㅠ.
토스증권,현대차,2025-03-17T09:46:28+09:00,102442354,30,장난치나,빨간불 켜라
토스증권,현대차,2025-03-17T09:32:04+09:00,102439982,31,,"배당금3퍼센트 먹는것보다..

배당락 이후 사팔사팔한게 더 수익률 좋았을거같음..."
토스증권,현대차,2025-03-17T09:26:20+09:00,102438900,32,,20.3층 언제 올라갈 거지?
토스증권,현대차,2025-03-17T09:25:01+09:00,102438636,33,,다시 진입해야것당
토스증권,현대차,2025-03-17T09:21:50+09:00,102438062,34,,"암튼, 올해까지다. 기다려본다. 뭐든하겠지"
토스증권,현대차,2025-03-17T09:19:27+09:00,102437618,35,,2월 배당금은 4월 언제 입금되는지 획정됐나요?
토스증권,현대차,2025-03-17T09:17:24+09:00,102437250,36,잘버티네 ㅋㅋ,타코 행보 보면 지금당장이라도 6만원가도 안이상한데 ㅋㅋㅋ 그래도 일론보단..낫나?
토스증권,현대차,2025-03-17T09:16:45+09:00,102437128,37,삼성구냥 냡둘껄,삼성팔고 현대차 물탓는데 ㅜㅜ이게머냐
